n,t_mean,t_stdev,t_mean2,t_stdev2,mean_space,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1,64525,27341.9,26271.9,1.97343e+07,48017,28500,47175,56150,88875,113500

4,569394,67867.1,303210,9.63049e+08,487611,471200,522925,542050,595750,773700

7,5.63321e+06,134859,4.07726e+06,6.36248e+10,4875968,5.4461e+06,5.53022e+06,5.6161e+06,5.69692e+06,6.0574e+06

10,5.77005e+07,2.25261e+06,4.25093e+07,1.18976e+12,48759540,5.49033e+07,5.62572e+07,5.70096e+07,5.79307e+07,6.48249e+07

13,4.75388e+09,8.32753e+09,6.21639e+08,1.04126e+16,487595254,7.44549e+08,1.16373e+09,2.41975e+09,4.97713e+09,4.70058e+10
